,ImageID,Synapse Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
37,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,192.0,76.0,AB7917,AB7917,F,cko,42
38,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,181.0,78.0,AB7917,AB7917,F,cko,42
39,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,176.0,80.0,AB7917,AB7917,F,cko,42
40,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,211.0,82.0,AB7917,AB7917,F,cko,42
41,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,158.0,84.0,AB7917,AB7917,F,cko,42
42,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,208.0,86.0,AB7917,AB7917,F,cko,42
43,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,136.0,88.0,AB7917,AB7917,F,cko,42
44,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,134.0,90.0,AB7917,AB7917,F,cko,42
45,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,103.0,92.0,AB7917,AB7917,F,cko,42
46,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,57.0,94.0,AB7917,AB7917,F,cko,42
47,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,10.0,96.0,AB7917,AB7917,F,cko,42
48,AB7917_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,98.0,AB7917,AB7917,F,cko,42
0,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,0.0,2.0,AB7917,AB7917,F,cko,42
1,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,11.0,4.0,AB7917,AB7917,F,cko,42
2,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,36.0,6.0,AB7917,AB7917,F,cko,42
3,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,75.0,8.0,AB7917,AB7917,F,cko,42
4,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,107.0,10.0,AB7917,AB7917,F,cko,42
