Genotype,Animal,Normalized distance from pia (%),VGluT1 Counts
cko,AB7931,18.0,400.0
cko,AB7931,20.0,399.0
cko,AB7931,22.0,422.3333333333333
cko,AB7931,24.0,364.6666666666667
cko,AB7931,26.0,362.3333333333333
cko,AB7931,28.0,361.0
cko,AB7931,30.0,363.3333333333333
cko,AB7931,32.0,359.0
cko,AB7931,34.0,367.6666666666667
cko,AB7931,36.0,358.0
cko,AB7931,38.0,353.3333333333333
cko,AB7931,40.0,336.0
cko,AB7931,42.0,334.6666666666667
cko,AB7931,44.0,350.6666666666667
cko,AB7931,46.0,356.3333333333333
cko,AB7931,48.0,361.0
cko,AB7931,50.0,341.0
cko,AB7931,52.0,366.0
cko,AB7931,54.0,365.6666666666667
cko,AB7931,56.0,388.0
cko,AB7931,58.0,423.6666666666667
cko,AB7931,60.0,436.6666666666667
cko,AB7931,62.0,416.6666666666667
cko,AB7931,64.0,384.0
cko,AB7931,66.0,358.0
cko,AB7931,68.0,382.3333333333333
cko,AB7931,70.0,376.0
cko,AB7931,72.0,420.3333333333333
cko,AB7931,74.0,407.6666666666667
cko,AB7931,76.0,396.3333333333333
cko,AB7931,78.0,418.6666666666667
cko,AB7931,80.0,399.0
cko,AB7931,82.0,365.6666666666667
cko,AB7931,84.0,398.3333333333333
cko,AB7931,86.0,340.6666666666667
cko,AB7931,88.0,278.6666666666667
cko,AB7931,90.0,246.33333333333334
cko,AB7931,92.0,234.66666666666666
cko,AB7931,94.0,177.66666666666666
cko,AB7931,96.0,122.0
cko,AB7931,98.0,37.0
cko,AB7932,2.0,92.33333333333333
cko,AB7932,4.0,208.0
cko,AB7932,6.0,333.6666666666667
cko,AB7932,8.0,411.6666666666667
cko,AB7932,10.0,468.6666666666667
cko,AB7932,12.0,438.3333333333333
cko,AB7932,14.0,425.0
cko,AB7932,16.0,419.6666666666667
cko,AB7932,18.0,391.3333333333333
cko,AB7932,20.0,433.3333333333333
cko,AB7932,22.0,405.0
cko,AB7932,24.0,428.0
cko,AB7932,26.0,398.6666666666667
cko,AB7932,28.0,389.6666666666667
cko,AB7932,30.0,449.3333333333333
cko,AB7932,32.0,431.6666666666667
cko,AB7932,34.0,399.0
cko,AB7932,36.0,383.3333333333333
cko,AB7932,38.0,407.0
cko,AB7932,40.0,357.6666666666667
cko,AB7932,42.0,369.3333333333333
cko,AB7932,44.0,376.3333333333333
cko,AB7932,46.0,360.0
cko,AB7932,48.0,363.6666666666667
cko,AB7932,50.0,383.6666666666667
cko,AB7932,52.0,374.6666666666667
cko,AB7932,54.0,359.0
cko,AB7932,56.0,388.0
cko,AB7932,58.0,425.6666666666667
cko,AB7932,60.0,431.3333333333333
cko,AB7932,62.0,417.6666666666667
cko,AB7932,64.0,369.0
cko,AB7932,66.0,378.3333333333333
cko,AB7932,68.0,391.3333333333333
cko,AB7932,70.0,375.0
cko,AB7932,72.0,392.3333333333333
cko,AB7932,74.0,448.0
cko,AB7932,76.0,438.0
cko,AB7932,78.0,443.0
cko,AB7932,80.0,453.3333333333333
cko,AB7932,82.0,416.6666666666667
cko,AB7932,84.0,426.0
cko,AB7932,86.0,417.0
cko,AB7932,88.0,391.3333333333333
cko,AB7932,90.0,355.6666666666667
cko,AB7932,92.0,332.3333333333333
cko,AB7932,94.0,267.3333333333333
cko,AB7932,96.0,136.66666666666666
cko,AB7932,98.0,17.333333333333332
ctrl,AB7920,2.0,24.666666666666668
ctrl,AB7920,4.0,141.0
ctrl,AB7920,6.0,240.66666666666666
ctrl,AB7920,8.0,336.6666666666667
ctrl,AB7920,10.0,421.6666666666667
ctrl,AB7920,12.0,426.3333333333333
ctrl,AB7920,14.0,429.6666666666667
ctrl,AB7920,16.0,399.0
ctrl,AB7920,18.0,395.3333333333333
ctrl,AB7920,20.0,397.6666666666667
ctrl,AB7920,22.0,375.0
ctrl,AB7920,24.0,388.3333333333333
ctrl,AB7920,26.0,352.3333333333333
ctrl,AB7920,28.0,368.0
ctrl,AB7920,30.0,377.3333333333333
ctrl,AB7920,32.0,372.6666666666667
ctrl,AB7920,34.0,359.6666666666667
ctrl,AB7920,36.0,342.0
ctrl,AB7920,38.0,310.6666666666667
ctrl,AB7920,40.0,341.0
ctrl,AB7920,42.0,319.0
