 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,139.750,278.250,139.750,278.250,138,277,3,2,1020,1020
2,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,8.500,284.500,8.500,284.500,8,284,1,1,255,255
3,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,9,255,0,24.611,325.833,24.611,325.833,23,324,3,4,2295,2295
4,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,28.000,327.000,28.000,327.000,27,326,2,2,510,510
5,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,205.786,329.643,205.786,329.643,204,328,3,3,1785,1785
6,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,50.167,344.833,50.167,344.833,49,344,2,2,765,765
7,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,101.250,356.750,101.250,356.750,100,355,3,3,1020,1020
8,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,181.000,362.500,181.000,362.500,180,362,2,1,510,510
9,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,387.000,365.000,387.000,365.000,386,364,2,2,510,510
10,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,123.167,404.833,123.167,404.833,122,404,2,2,765,765
11,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,143.500,407.000,143.500,407.000,143,406,1,2,510,510
12,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,321.500,422.500,321.500,422.500,321,422,1,1,255,255
13,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,16,255,0,335.625,431.562,335.625,431.562,333,429,5,5,4080,4080
14,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,442.750,435.500,442.750,435.500,442,434,2,3,1020,1020
15,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,92.000,438.000,92.000,438.000,91,437,2,2,510,510
16,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,11.500,449.500,11.500,449.500,11,449,1,1,255,255
17,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,67.500,456.000,67.500,456.000,67,455,1,2,510,510
18,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,219.500,465.000,219.500,465.000,219,464,1,2,510,510
19,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,360.750,470.750,360.750,470.750,360,469,2,3,1020,1020
20,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,576.167,480.167,576.167,480.167,575,479,2,2,765,765
21,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,29.000,483.000,29.000,483.000,28,482,2,2,510,510
22,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,16,255,0,325.750,489.625,325.750,489.625,323,488,6,4,4080,4080
23,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,10,255,0,511.500,499.300,511.500,499.300,510,497,3,5,2550,2550
24,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,16,255,0,539.375,502.062,539.375,502.062,536,500,7,4,4080,4080
25,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,385.500,502.000,385.500,502.000,385,501,1,2,510,510
26,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,105.500,504.000,105.500,504.000,105,503,1,2,510,510
27,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,71.167,507.167,71.167,507.167,70,506,2,2,765,765
28,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,799.000,511.000,799.000,511.000,798,509,2,4,1530,1530
29,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,602.167,512.167,602.167,512.167,601,511,2,2,765,765
30,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,200.000,515.500,200.000,515.500,199,515,2,1,510,510
31,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,201.500,520.500,201.500,520.500,201,520,1,1,255,255
32,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,33.500,526.500,33.500,526.500,33,526,1,1,255,255
33,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,230.500,527.500,230.500,527.500,230,527,1,1,255,255
34,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,20.500,529.500,20.500,529.500,20,529,1,1,255,255
35,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,983.000,530.500,983.000,530.500,982,529,2,3,1020,1020
36,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,415.900,532.700,415.900,532.700,414,532,4,2,1275,1275
37,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,933.357,535.214,933.357,535.214,932,533,3,4,1785,1785
38,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,262.500,537.500,262.500,537.500,262,537,1,1,255,255
39,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,264.500,537.500,264.500,537.500,264,537,1,1,255,255
40,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,46.000,540.000,46.000,540.000,45,539,2,2,510,510
41,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,750.500,540.000,750.500,540.000,750,539,1,2,510,510
42,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,24.000,544.500,24.000,544.500,23,543,2,3,1020,1020
43,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,649.500,544.000,649.500,544.000,649,543,1,2,510,510
44,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,904.071,545.500,904.071,545.500,902,544,4,3,1785,1785
45,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,380.500,547.929,380.500,547.929,378,546,4,3,1785,1785
46,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,361.500,554.000,361.500,554.000,360,552,3,4,1530,1530
47,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,368.000,553.500,368.000,553.500,367,553,2,1,510,510
48,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,178.300,560.100,178.300,560.100,177,559,3,2,1275,1275
49,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,957.750,563.500,957.750,563.500,956,562,3,3,1020,1020
50,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,958.000,566.500,958.000,566.500,957,566,2,1,510,510
51,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,10,255,0,109.400,569.200,109.400,569.200,107,567,4,4,2550,2550
52,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,188.500,570.000,188.500,570.000,187,569,3,2,1530,1530
53,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,167.167,572.000,167.167,572.000,166,570,3,4,1530,1530
54,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,445.900,571.300,445.900,571.300,445,570,2,3,1275,1275
55,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,162.500,573.000,162.500,573.000,162,572,1,2,510,510
56,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,65.000,573.500,65.000,573.500,64,573,2,1,510,510
57,Output\AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,215.700,578.100,215.700,578.100,214,577,3,2,1275,1275
