 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,9,255,0,915.944,28.944,915.944,28.944,913,28,6,2,2295,2295
2,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,1020.500,32.000,1020.500,32.000,1020,31,1,2,510,510
3,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,1013.500,32.500,1013.500,32.500,1013,32,1,1,255,255
4,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,854.333,53.500,854.333,53.500,853,52,3,3,1530,1530
5,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,999.000,58.500,999.000,58.500,998,58,2,1,510,510
6,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,1001.000,62.000,1001.000,62.000,1000,61,2,2,510,510
7,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,9,255,0,884.056,81.611,884.056,81.611,882,80,4,3,2295,2295
8,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,790.000,82.500,790.000,82.500,789,82,2,1,510,510
9,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,982.500,87.500,982.500,87.500,982,87,1,1,255,255
10,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,13,255,0,389.346,90.115,389.346,90.115,387,88,4,4,3315,3315
11,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,960.500,89.500,960.500,89.500,960,89,1,1,255,255
12,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,876.000,100.500,876.000,100.500,875,99,2,3,1020,1020
13,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,904.000,100.250,904.000,100.250,902,99,4,2,1020,1020
14,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,905.500,102.500,905.500,102.500,905,102,1,1,255,255
15,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,903.500,103.500,903.500,103.500,903,103,1,1,255,255
16,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,796.167,129.333,796.167,129.333,795,127,2,4,1530,1530
17,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,817.357,129.500,817.357,129.500,816,128,3,3,1785,1785
18,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,789.500,130.500,789.500,130.500,789,130,1,1,255,255
19,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,806.786,134.500,806.786,134.500,805,133,3,3,1785,1785
20,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,510.500,138.000,510.500,138.000,510,137,1,2,510,510
21,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,714.500,147.500,714.500,147.500,714,147,1,1,255,255
22,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,752.500,147.500,752.500,147.500,752,147,1,1,255,255
23,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,14,255,0,247.643,153.429,247.643,153.429,245,151,5,5,3570,3570
24,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,14,255,0,989.000,152.786,989.000,152.786,987,151,4,4,3570,3570
25,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,802.500,152.500,802.500,152.500,802,152,1,1,255,255
26,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,11,255,0,791.591,158.864,791.591,158.864,790,157,3,4,2805,2805
27,Output\AB7931_V1_section1_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,895.667,159.667,895.667,159.667,894,158,3,3,1530,1530
