Genotype,Animal,Normalized distance from pia (%),Synapse Counts
cko,AB7931,20.0,59.666666666666664
cko,AB7931,22.0,63.0
cko,AB7931,24.0,59.333333333333336
cko,AB7931,26.0,48.333333333333336
cko,AB7931,28.0,59.0
cko,AB7931,30.0,58.666666666666664
cko,AB7931,32.0,49.0
cko,AB7931,34.0,54.333333333333336
cko,AB7931,36.0,51.333333333333336
cko,AB7931,38.0,48.0
cko,AB7931,40.0,47.333333333333336
cko,AB7931,42.0,50.666666666666664
cko,AB7931,44.0,58.0
cko,AB7931,46.0,52.666666666666664
cko,AB7931,48.0,64.0
cko,AB7931,50.0,59.0
cko,AB7931,52.0,65.66666666666667
cko,AB7931,54.0,68.33333333333333
cko,AB7931,56.0,68.0
cko,AB7931,58.0,90.0
cko,AB7931,60.0,83.66666666666667
cko,AB7931,62.0,81.33333333333333
cko,AB7931,64.0,85.33333333333333
cko,AB7931,66.0,69.0
cko,AB7931,68.0,79.33333333333333
cko,AB7931,70.0,61.666666666666664
cko,AB7931,72.0,70.0
cko,AB7931,74.0,57.0
cko,AB7931,76.0,46.666666666666664
cko,AB7931,78.0,54.666666666666664
cko,AB7931,80.0,44.666666666666664
cko,AB7931,82.0,41.333333333333336
cko,AB7931,84.0,36.666666666666664
cko,AB7931,86.0,33.0
cko,AB7931,88.0,31.0
cko,AB7931,90.0,23.666666666666668
cko,AB7931,92.0,28.0
cko,AB7931,94.0,20.0
cko,AB7931,96.0,11.666666666666666
cko,AB7931,98.0,6.666666666666667
cko,AB7932,2.0,13.333333333333334
cko,AB7932,4.0,27.666666666666668
cko,AB7932,6.0,38.333333333333336
cko,AB7932,8.0,53.0
cko,AB7932,10.0,69.0
cko,AB7932,12.0,68.66666666666667
cko,AB7932,14.0,69.33333333333333
cko,AB7932,16.0,69.0
cko,AB7932,18.0,61.333333333333336
cko,AB7932,20.0,65.33333333333333
cko,AB7932,22.0,54.333333333333336
cko,AB7932,24.0,53.666666666666664
cko,AB7932,26.0,52.666666666666664
cko,AB7932,28.0,60.0
cko,AB7932,30.0,61.0
cko,AB7932,32.0,67.66666666666667
cko,AB7932,34.0,59.0
cko,AB7932,36.0,63.666666666666664
cko,AB7932,38.0,52.333333333333336
cko,AB7932,40.0,53.333333333333336
cko,AB7932,42.0,68.33333333333333
cko,AB7932,44.0,52.333333333333336
cko,AB7932,46.0,59.666666666666664
cko,AB7932,48.0,53.0
cko,AB7932,50.0,60.333333333333336
cko,AB7932,52.0,52.0
cko,AB7932,54.0,57.666666666666664
cko,AB7932,56.0,71.66666666666667
cko,AB7932,58.0,72.66666666666667
cko,AB7932,60.0,89.33333333333333
cko,AB7932,62.0,79.33333333333333
cko,AB7932,64.0,81.0
cko,AB7932,66.0,84.33333333333333
cko,AB7932,68.0,84.33333333333333
cko,AB7932,70.0,75.0
