 ,Label,Area,Mean,StdDev,X,Y,XM,YM,BX,BY,Width,Height,IntDen,RawIntDen
1,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,83.500,3.500,83.500,3.500,83,3,1,1,255,255
2,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,108.000,15.000,108.000,15.000,107,14,2,2,510,510
3,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,18.500,33.500,18.500,33.500,18,33,1,1,255,255
4,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,60.500,40.000,60.500,40.000,59,39,3,2,1020,1020
5,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,34.643,44.929,34.643,44.929,33,43,3,4,1785,1785
6,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,216.900,72.300,216.900,72.300,216,71,2,3,1275,1275
7,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,8,255,0,80.625,78.625,80.625,78.625,79,77,3,3,2040,2040
8,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,9,255,0,50.500,80.833,50.500,80.833,49,79,3,4,2295,2295
9,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,288.500,96.000,288.500,96.000,288,95,1,2,510,510
10,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,403.000,104.500,403.000,104.500,402,104,2,1,510,510
11,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,466.667,105.333,466.667,105.333,465,104,3,3,1530,1530
12,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,346.929,124.786,346.929,124.786,345,123,4,3,1785,1785
13,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,194.500,131.500,194.500,131.500,193,131,3,1,765,765
14,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,232.500,137.667,232.500,137.667,231,136,3,3,1530,1530
15,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,302.500,138.500,302.500,138.500,302,138,1,1,255,255
16,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,8,255,0,83.375,149.625,83.375,149.625,82,148,3,3,2040,2040
17,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,4.750,155.500,4.750,155.500,4,154,2,3,1020,1020
18,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,273.500,160.750,273.500,160.750,272,160,3,2,1020,1020
19,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,8,255,0,458.250,170.125,458.250,170.125,457,168,3,4,2040,2040
20,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,379.214,171.643,379.214,171.643,378,170,3,3,1785,1785
21,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,283.167,178.167,283.167,178.167,282,177,2,2,765,765
22,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,297.000,179.000,297.000,179.000,296,178,2,2,1020,1020
23,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,5,255,0,555.300,181.700,555.300,181.700,554,180,3,3,1275,1275
24,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,409.500,188.000,409.500,188.000,409,187,1,2,510,510
25,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,425.167,189.167,425.167,189.167,424,188,2,2,765,765
26,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,442.000,200.000,442.000,200.000,441,199,2,2,1020,1020
27,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,464.500,200.750,464.500,200.750,463,200,3,2,1020,1020
28,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,156.000,203.500,156.000,203.500,155,202,2,3,1020,1020
29,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,354.167,204.833,354.167,204.833,353,203,3,3,1530,1530
30,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,342.786,207.500,342.786,207.500,341,206,3,3,1785,1785
31,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,339.750,210.500,339.750,210.500,339,209,2,3,1020,1020
32,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,450.500,212.071,450.500,212.071,449,210,3,4,1785,1785
33,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,7,255,0,357.500,226.214,357.500,226.214,356,225,3,3,1785,1785
34,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,12,255,0,549.667,227.333,549.667,227.333,548,225,3,5,3060,3060
35,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,399.000,227.500,399.000,227.500,398,227,2,1,510,510
36,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,261.000,234.500,261.000,234.500,260,233,2,3,1530,1530
37,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,141.000,234.500,141.000,234.500,140,234,2,1,510,510
38,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,6,255,0,325.667,238.667,325.667,238.667,324,237,3,3,1530,1530
39,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,253.000,240.500,253.000,240.500,252,240,2,1,510,510
40,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,3,255,0,389.167,243.833,389.167,243.833,388,243,2,2,765,765
41,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,765.000,244.000,765.000,244.000,764,243,2,2,510,510
42,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,8,255,0,209.750,249.125,209.750,249.125,208,247,3,4,2040,2040
43,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,134.500,253.500,134.500,253.500,134,253,1,1,255,255
44,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,2,255,0,165.500,254.000,165.500,254.000,165,253,1,2,510,510
45,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,15,255,0,483.567,259.767,483.567,259.767,481,258,5,4,3825,3825
46,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,10,255,0,850.000,261.300,850.000,261.300,848,260,4,3,2550,2550
47,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,4,255,0,488.500,262.000,488.500,262.000,487,261,3,2,1020,1020
48,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,540.500,261.500,540.500,261.500,540,261,1,1,255,255
49,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,9,255,0,538.833,265.611,538.833,265.611,537,264,4,3,2295,2295
50,Output\AB7923_V1_section3_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif_colocs,1,255,0,631.500,266.500,631.500,266.500,631,266,1,1,255,255
